"selfcensor","adminclear","admincontr","worryrep","worryjob","fa_insult","fa_offen","fa_teach","fa_emot","fa_unrest","scotus_harass","obama_harass","priority","direction","studentcon","facoffen","facquote","faccomf","train_knowl","train_norms","train_prac","train_phil","train_skill","train_const","train_rule","train_disag","train_engage","sup_session","sup_acadpol","sup_exprpol","sup_event","judgeideo","judgeT14","judgeview","judgeteach","spmargin","spdiff","deihire","deitenure","polclimate","polhide","hirecons","hirelib","mentorcons","mentorlib","clerkcons","clerklib","fitlib","fitcons","col_hirecons","col_hirelib","col_mentorcons","col_mentorlib","col_clerkcons","col_clerklib","educontext","FLDF","Position","Area","Degree_1","Degree_2","Degree_3","Degree_4","Degree_5","Gender","Race","Ideo","ideobin","Party","age_5cat","Religion","Religion2"
"Fairly often, a couple times a week","Very clear","Not very likely","Very worried","Not at all worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Probably too broad","Definitely too broad","Protecting free expression","Right track","Always","Mostly acceptable","Mostly acceptable","Somewhat uncomfortable","Somewhat important","Neither important nor unimportant","Very important","Very important","Somewhat unimportant","Somewhat unimportant","Somewhat unimportant","Somewhat important","Somewhat important","Somewhat support this","Strongly support this","Strongly support this","Somewhat support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Neither supportive nor hostile","Never","Never","Rarely","Never","Rarely","Never","Never","Very positive fit","Somewhat positive fit","Rarely","Rarely","Sometimes","Rarely","Never","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Somewhat familiar","Chaired or Distinguished Professor","Business law / business organizations / commercial litigation","J.D.",,,"Research doctorate (e.g., PhD, SJD, EdD)",,"Male","White or Caucasian","Slightly liberal","liberal","Lean Democrat",,"Atheist",
"Occasionally","Extremely clear","Somewhat likely","Somewhat worried","Slightly worried","Some protection","Some protection","Complete protection","Some protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Protecting free expression","Right track","Always","Mostly acceptable","Mostly acceptable","Neither comfortable nor uncomfortable","Very important","Very important","Very important","Somewhat important","Somewhat important","Very important","Very important","Very important","Very important","Somewhat oppose this","Somewhat support this","Somewhat support this","Strongly support this","Unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Somewhat support this position","This is never justifiable","This is never justifiable","Somewhat supportive","Occasionally, once or twice a month","Never","Rarely","Rarely","Rarely","Never","Never","Neither poor nor positive fit","Very positive fit","Sometimes","Sometimes","Rarely","Rarely","Rarely","Rarely","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","I’ve heard of it, but I don’t know much about it","Associate Professor","Civil procedure","J.D.",,,,,"Male","White or Caucasian","Moderate, middle-of-the-road","moderate","Independent","45-54","Evangelical Protestant",
"Occasionally","Not very clear",,"Not too worried","Not too worried","Complete protection","Complete protection","Complete protection","Some protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority",,"Always","Mostly acceptable","Completely acceptable","Neither comfortable nor uncomfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Neither oppose nor support","Somewhat support this","Strongly support this","Somewhat support this","Somewhat unjustified","Somewhat unjustified","Don’t know / unsure.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Strongly support this position","Strongly support this position","This is rarely justifiable","This is rarely justifiable","Neither supportive nor hostile","Rarely","Never","Never","Never","Never","Never","Never","Neither poor nor positive fit","Neither poor nor positive fit",,,,,,,"Neither / don’t know","I’ve heard of it, but I don’t know much about it","Clinical Professor","Other","J.D.",,,,,"Male","White or Caucasian","Something else (please specify)",,"Something else (please specify)","65+","Nothing in Particular",
"Rarely","Very clear",,"Not too worried","Slightly worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Probably too broad","Don’t know / uncertain","Protecting free expression",,"Often","Mostly unacceptable","Completely acceptable","Somewhat comfortable","Very important","Somewhat important","Very important","Neither important nor unimportant","Very important","Very important","Very important","Very important","Somewhat important","Neither oppose nor support","Somewhat support this","Somewhat support this","Neither oppose nor support","Unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Somewhat support this position","This is never justifiable","This is never justifiable","Very supportive","Never","Rarely","Never","Rarely","Rarely","Never","Never","Very positive fit","Somewhat poor fit",,,,,,,"A non-adversarial context (e.g., Didactic lecturing, standardized grading)","Never heard of it","Adjunct / Lecturer","Business law / business organizations / commercial litigation","J.D.",,,,,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","65+","Agnostic",
"Fairly often, a couple times a week","Very clear","Not very likely","Very worried","Not too worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Protecting free expression","Right track","Often","Mostly acceptable","Completely acceptable","Somewhat uncomfortable","Very important","Neither important nor unimportant","Very important","Very important","Somewhat important","Very important","Very important","Very important","Somewhat important","Neither oppose nor support","Strongly support this","Strongly support this","Strongly support this","Unjustified","Somewhat justified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Somewhat support this position","Strongly support this position","This is never justifiable","This is never justifiable","Very hostile","Occasionally, once or twice a month","Never","Sometimes","Never","Sometimes","Never","Never","Very positive fit","Very poor fit","Always","Never","Often","Rarely","Sometimes","Rarely","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Very familiar","Full Professor","Business law / business organizations / commercial litigation","J.D.",,,,,"Male","White or Caucasian","Conservative","conservative","Lean Republican",,"Jewish",
"Fairly often, a couple times a week","Not at all clear","Somewhat likely","Very worried","Very worried","Minimal protection","Some protection","Complete protection","Some protection","Some protection","Don’t know / uncertain","Don’t know / uncertain","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often","Mostly acceptable","Neither acceptable nor unacceptable","Somewhat uncomfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Somewhat support this","Unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Somewhat support this position","Neither oppose nor support","This is often justifiable","This is sometimes justifiable","Somewhat supportive","Rarely","Never","Never","Never","Never","Never","Never","Very positive fit","Neither poor nor positive fit","Sometimes","Sometimes","Rarely","Rarely","Never","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Somewhat familiar","Full Professor","Copyright / trademark / intellectual property law","J.D.",,,,,"Female","Two or more races","Liberal","liberal","Strong Democrat","45-54","Roman Catholic",
"Never","Very clear","Somewhat likely","Not at all worried","Not at all worried","Minimal protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Struck an appropriate balance–was neither too narrow nor too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Often","Mostly acceptable","Mostly acceptable","Very comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are mostly politically neutral.","Strongly support this position","Strongly support this position","This is often justifiable","This is often justifiable","Somewhat supportive","Never","Sometimes","Sometimes","Rarely","Rarely","Never","Never","Very positive fit","Very positive fit","Rarely","Rarely","Sometimes","Sometimes","Rarely","Rarely","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","I’ve heard of it, but I don’t know much about it","Full Professor","Contract law","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Slightly liberal","liberal","Independent","65+","Evangelical Protestant",
"Fairly often, a couple times a week","Extremely clear","Not very likely","Somewhat worried","Slightly worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Struck an appropriate balance–was neither too narrow nor too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often","Mostly unacceptable","Mostly unacceptable","Somewhat uncomfortable","Very important","Somewhat important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Somewhat unimportant","Neither oppose nor support","Somewhat support this","Somewhat support this","Neither oppose nor support","Unjustified","Neither justified nor unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are mostly politically neutral.","Somewhat support this position","Somewhat oppose this position","This is rarely justifiable","This is rarely justifiable","Very supportive","Rarely","Rarely","Never","Sometimes","Rarely","Never","Never","Very positive fit","Neither poor nor positive fit","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Neither / don’t know","I’ve heard of it, but I don’t know much about it","Full Professor","Other","J.D.",,,,,"Female","White or Caucasian","Liberal","liberal","Strong Democrat","55-64","Something else",
"Rarely","Somewhat clear","Somewhat likely","Slightly worried","Not too worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Often","Mostly unacceptable","Mostly acceptable","Neither comfortable nor uncomfortable","Very important","Neither important nor unimportant","Very important","Somewhat important","Very important","Somewhat important","Somewhat important","Somewhat important","Neither important nor unimportant","Neither oppose nor support","Somewhat support this","Somewhat support this","Somewhat oppose this","Extremely unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Somewhat support this position","Somewhat oppose this position","This is sometimes justifiable","This is sometimes justifiable","Somewhat supportive","Rarely","Often","Rarely","Often","Rarely","Sometimes","Never","Somewhat positive fit","Neither poor nor positive fit","Sometimes","Rarely","Sometimes","Rarely","Rarely","Rarely","Neither / don’t know","Never heard of it","Adjunct / Lecturer","Other","J.D.",,,,,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","55-64","Nothing in Particular",
"Never","Extremely clear","Not at all likely","Not at all worried","Not at all worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Don’t know / uncertain","Don’t know / uncertain","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Always",,,"Very comfortable","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position",,,"Neither supportive nor hostile","Never","Never","Never","Never","Never","Never","Never","Very positive fit","Very positive fit","Rarely","Rarely","Never","Never","Never","Never","Neither / don’t know","I’ve heard of it, but I don’t know much about it","Chaired or Distinguished Professor","First Amendment law","J.D.",,,,,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","55-64","Agnostic",
"Rarely","Extremely clear","Not at all likely","Somewhat worried","Very worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Always","Neither acceptable nor unacceptable","Neither acceptable nor unacceptable","Somewhat uncomfortable","Very important","Very important","Very important","Somewhat unimportant","Very important","Very important","Very important","Very important","Somewhat important","Neither oppose nor support","Strongly support this","Strongly support this","Neither oppose nor support","Unjustified","Unjustified","Judges are mostly politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Neither supportive nor hostile","Rarely","Never","Never","Never","Never","Never","Never","Very positive fit","Very positive fit","Rarely","Never","Never","Never","Never","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","I’ve heard of it, but I don’t know much about it","Full Professor","Other","J.D.",,,,,"Male","White or Caucasian","Slightly conservative","conservative","Independent","45-54","Roman Catholic",
"Very often, nearly every day","Not at all clear","Not very likely","Very worried","Very worried","No protection","Minimal protection","Complete protection","Minimal protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Struck an appropriate balance–was neither too narrow nor too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Neither acceptable nor unacceptable","Neither acceptable nor unacceptable","Somewhat uncomfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Neither justified nor unjustified","Unjustified","Judges are entirely politically motivated.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is sometimes justifiable","This is sometimes justifiable","Very hostile","Very often, nearly every day","Never","Never","Never","Never","Never","Never","Very positive fit","Very poor fit","Always","Never","Often","Never","Often","Never","Neither / don’t know","Never heard of it","Emeriti","International / comparative law","J.D.",,"LLM or Masters","Research doctorate (e.g., PhD, SJD, EdD)",,"Female","Hispanic or Latin American","Moderate, middle-of-the-road","moderate","Independent","65+","Roman Catholic",
"Fairly often, a couple times a week","Very clear","Not at all likely","Slightly worried","Slightly worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Protecting free expression","Wrong direction","Always","Completely acceptable","Completely acceptable","Somewhat uncomfortable","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Very important","Very important","Very important","Very important","Neither oppose nor support","Strongly support this","Strongly support this","Strongly support this","Unjustified","Unjustified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Strongly support this position","Neither oppose nor support","This is never justifiable","This is never justifiable","Somewhat hostile","Fairly often, a couple times a week","Never","Never","Never","Never","Never","Never","Very positive fit","Somewhat poor fit","Often","Never","Often","Never","Sometimes","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","I’ve heard of it, but I don’t know much about it","Clinical Professor","Other","J.D.",,,,,"Female","White or Caucasian","Slightly conservative","conservative","Independent","45-54","Evangelical Protestant",
"Fairly often, a couple times a week","Not very clear","Somewhat likely","Somewhat worried","Not too worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Protecting free expression","Wrong direction","Always","Completely acceptable","Completely acceptable","Somewhat uncomfortable","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Justified","Justified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Very hostile","Occasionally, once or twice a month","Never","Sometimes","Never","Never","Never","Never","Very positive fit","Very poor fit","Always","Never","Sometimes","Never","Sometimes","Never","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","Somewhat familiar","Full Professor","Contract law","J.D.",,,,,"Female","White or Caucasian","Something else (please specify)",,"Lean Republican",,"Mainline Protestant",
"Occasionally","Not very clear","Very likely","Not too worried","Not at all worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Probably too narrow","Definitely too broad","Protecting free expression","Wrong direction","Always","Completely acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Somewhat unjustified","Somewhat justified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Somewhat hostile","Occasionally, once or twice a month","Never","Sometimes","Never","Sometimes","Never","Sometimes","Very positive fit","Somewhat poor fit","Often","Sometimes","Often","Always","Often","Sometimes","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Very familiar","Adjunct / Lecturer","Tax law","J.D.",,"LLM or Masters",,,"Male","Asian American","Very conservative","conservative","Strong Republican","35-44","Mainline Protestant",
"Never","Extremely clear","Not at all likely","Not too worried","Not at all worried","Some protection","Complete protection","Complete protection","Some protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often","Mostly unacceptable","Completely acceptable","Somewhat comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Neither oppose nor support","Strongly support this","Strongly support this","Somewhat support this","Neither justified nor unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are mostly politically neutral.","Somewhat support this position","Somewhat support this position","This is rarely justifiable","This is sometimes justifiable","Neither supportive nor hostile","Never","Rarely","Rarely","Never","Never","Never","Never","Very positive fit","Very positive fit","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Never heard of it","Adjunct / Lecturer",,"J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Slightly conservative","conservative","Lean Democrat",,"Roman Catholic",
"Never","Very clear","Not very likely","Not at all worried","Not at all worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad",,"Protecting free expression","Wrong direction","Sometimes","Mostly unacceptable","Mostly acceptable","Somewhat comfortable","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Somewhat unjustified","Somewhat unjustified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Somewhat support this position","Strongly support this position","This is rarely justifiable","This is rarely justifiable","Somewhat hostile","Fairly often, a couple times a week","Never","Sometimes","Never","Rarely","Never","Never","Very positive fit","Somewhat poor fit","Always","Rarely","Sometimes","Never","Sometimes","Never","Neither / don’t know","I’ve heard of it, but I don’t know much about it","Full Professor","Business law / business organizations / commercial litigation","J.D.",,,,,"Female","White or Caucasian","Moderate, middle-of-the-road","moderate","Independent","45-54","Something else","None of these"
"Never","Extremely clear","Not at all likely","Not at all worried","Not at all worried","Minimal protection","Complete protection","Complete protection","Complete protection","Minimal protection","Probably too narrow","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Mostly acceptable","Completely acceptable","Very comfortable","Very important","Somewhat important","Somewhat important","Very unimportant","Very important","Very important","Very important","Very important","Very unimportant","Somewhat oppose this","Somewhat support this","Somewhat support this","Neither oppose nor support","Extremely justified","Justified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Somewhat support this position","Neither oppose nor support","This is sometimes justifiable","This is sometimes justifiable","Very supportive","Never","Never","Never","Sometimes","Sometimes","Never","Never","Very positive fit","Very positive fit","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","I’ve heard of it, but I don’t know much about it","Full Professor","Constitutional law","J.D.",,,"Research doctorate (e.g., PhD, SJD, EdD)",,"Male","White or Caucasian","Slightly liberal","liberal","Strong Democrat","55-64","Nothing in Particular",
"Very often, nearly every day","Not at all clear","Very likely","Somewhat worried","Somewhat worried","Some protection","Complete protection","Complete protection","Complete protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Protecting free expression","Wrong direction","Often","Completely acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Extremely justified","Extremely justified","Judges are a mix of politically motivated and politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Somewhat hostile","Fairly often, a couple times a week","Never","Never","Never","Never","Never","Never","Somewhat positive fit","Somewhat positive fit","Never","Never","Sometimes","Rarely","Sometimes","Rarely","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","Somewhat familiar","Professor of Practice","Business law / business organizations / commercial litigation","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Slightly conservative","conservative","Lean Republican","55-64","Roman Catholic",
"Very often, nearly every day","Not at all clear","Extremely likely","Very worried","Very worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Definitely too broad","Definitely too broad","Protecting free expression","Wrong direction","Often","Completely acceptable","Completely acceptable","Very uncomfortable","Very important","Somewhat important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Extremely justified","Extremely justified","Judges are mostly politically motivated.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Very hostile","Very often, nearly every day","Never","Never","Never","Never","Never","Never","Very positive fit","Very poor fit","Always","Always","Always","Always","Sometimes","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","I’ve heard of it, but I don’t know much about it","Chaired or Distinguished Professor","Criminal law","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Very conservative","conservative","Strong Republican","65+","Nothing in Particular",
"Occasionally","Somewhat clear","Somewhat likely","Somewhat worried","Not too worried","Some protection","Some protection","Complete protection","Some protection","Some protection","Probably too narrow","Probably too narrow","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Always","Mostly acceptable","Completely acceptable","Somewhat comfortable","Very important","Very important","Very important","Somewhat unimportant","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Strongly support this","Somewhat unjustified","Somewhat unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Somewhat support this position","This is sometimes justifiable","This is sometimes justifiable","Very supportive","Never","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Somewhat positive fit","Somewhat positive fit","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Neither / don’t know","Never heard of it","Professor of Practice","Other","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","55-64","Jewish",
"Very often, nearly every day","Not very clear","Very likely","Very worried","Somewhat worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Probably too broad","Definitely too broad","Protecting free expression","Wrong direction","Always","Mostly acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Somewhat support this","Somewhat support this","Neither oppose nor support","Neither justified nor unjustified","Neither justified nor unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are mostly politically neutral.","Somewhat support this position","Strongly support this position","This is never justifiable","This is never justifiable","Very hostile","Very often, nearly every day","Never","Often","Never","Rarely","Never","Never","Very positive fit","Somewhat positive fit","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Never heard of it","Professor of Practice","Jurisprudence","J.D.",,,"Research doctorate (e.g., PhD, SJD, EdD)",,"Male","White or Caucasian","Very conservative","conservative","Strong Republican","35-44","Evangelical Protestant",
"Rarely","Somewhat clear","Somewhat likely","Slightly worried","Slightly worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Don’t know / uncertain","Don’t know / uncertain","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Sometimes","Mostly acceptable","Mostly acceptable","Very comfortable","Very important","Somewhat important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Somewhat important","Neither oppose nor support","Strongly support this","Strongly support this","Strongly support this","Neither justified nor unjustified","Neither justified nor unjustified","Judges are a mix of politically motivated and politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Strongly support this position","Strongly support this position","This is always justifiable","This is always justifiable","Somewhat supportive","Never","Often","Rarely","Sometimes","Often","Rarely","Never","Somewhat positive fit",,"Rarely","Often","Sometimes","Rarely","Rarely","Rarely","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","Never heard of it","Adjunct / Lecturer","Alternative dispute resolution","J.D.",,,,,"Female","White or Caucasian","Very liberal","liberal","Strong Democrat","65+","Agnostic",
"Never","Very clear","Not very likely","Not at all worried","Not at all worried","Minimal protection","Complete protection","Complete protection","Complete protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Struck an appropriate balance–was neither too narrow nor too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Often","Mostly unacceptable","Completely unacceptable","Somewhat comfortable","Very important","Very important","Very important","Neither important nor unimportant","Very important","Very important","Very important","Very important","Somewhat important","Neither oppose nor support","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is rarely justifiable","This is rarely justifiable","Very supportive","Rarely","Never","Never","Never","Never","Never","Never","Very positive fit","Somewhat positive fit","Rarely","Rarely","Rarely","Rarely","Never","Never","Neither / don’t know","Never heard of it","Chaired or Distinguished Professor","Environmental law","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Very liberal","liberal","Strong Democrat","65+","Jewish",
"Never","Very clear","Not very likely","Not at all worried","Not at all worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Struck an appropriate balance–was neither too narrow nor too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Neither acceptable nor unacceptable","Mostly acceptable","Very comfortable","Very important","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Neither oppose nor support","Somewhat support this","Somewhat support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Somewhat support this position","Somewhat support this position","This is often justifiable","This is rarely justifiable","Very supportive","Never","Never","Never","Never","Never","Never","Never","Very positive fit","Very positive fit","Sometimes","Sometimes","Rarely","Rarely","Never","Never","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","I’ve heard of it, but I don’t know much about it","Emeriti","Administrative / education law","J.D.",,,,,"Male","White or Caucasian","Very liberal","liberal","Strong Democrat","65+","Jewish",
"Rarely","Very clear","Not at all likely","Somewhat worried","Not too worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Don’t know / uncertain","Definitely too broad","Protecting free expression","Wrong direction","Always","Neither acceptable nor unacceptable","Completely acceptable","Somewhat uncomfortable","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are mostly politically neutral.","Strongly oppose this position","Strongly support this position","This is never justifiable","This is never justifiable","Neither supportive nor hostile","Very often, nearly every day","Never","Rarely","Never","Never","Never","Never","Very positive fit","Somewhat positive fit","Often","Rarely","Never","Never","Never","Never","Neither / don’t know","I’ve heard of it, but I don’t know much about it","Chaired or Distinguished Professor","Tax law","J.D.",,,,,"Female","White or Caucasian","Slightly liberal","liberal","Lean Democrat","45-54","Jewish",
"Occasionally","Very clear","Not very likely","Somewhat worried","Not too worried","Some protection","Some protection","Complete protection","Some protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Protecting free expression","Right track","Always","Mostly unacceptable","Completely acceptable","Somewhat uncomfortable","Very important","Very important","Very important","Very important","Somewhat important","Somewhat important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Somewhat support this position","Strongly support this position","This is rarely justifiable","This is rarely justifiable","Somewhat hostile","Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Rarely","Very positive fit","Somewhat poor fit","Often","Rarely","Sometimes","Rarely","Often","Rarely","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Never heard of it","Chaired or Distinguished Professor","Contract law","J.D.",,,,,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","65+","Mainline Protestant",
