Variable,VariableLabel,Value,ValueLabel
,,99,Skipped/Missing
daily_ai,"How concerned, if at all, are you about peoples everyday use of AI?",1,Not at all concerned
,,2,Not very concerned
,,3,Somewhat concerned
,,4,Very concerned
,,5,Extremely concerned
,,98,Not in survey
,,99,Skipped/Missing
expressreg_ai,"How concerned, if at all, are you about the governments role in regulating human expression that involves the use of AI?",1,Not at all concerned
,,2,Not very concerned
,,3,Somewhat concerned
,,4,Very concerned
,,5,Extremely concerned
,,98,Not in survey
,,99,Skipped/Missing
socmedia_ai,"How concerned, if at all, are you that laws restricting the use of AI-generated content could discourage people from sharing content on social media?",1,Not at all concerned
,,2,Not very concerned
,,3,Somewhat concerned
,,4,Very concerned
,,5,Extremely concerned
,,98,Not in survey
,,99,Skipped/Missing
govtcrit_ai,"How concerned, if at all, are you that laws restricting AI-generated content could be used by government officials to suppress criticism of elected officials?",1,Not at all concerned
,,2,Not very concerned
,,3,Somewhat concerned
,,4,Very concerned
,,5,Extremely concerned
,,98,Not in survey
,,99,Skipped/Missing
parody_ai,"How concerned, if at all, are you about laws that would prohibit a comedian from using AI to alter a photo or video as part of a parody or satire?",1,Not at all concerned
,,2,Not very concerned
,,3,Somewhat concerned
,,4,Very concerned
,,5,Extremely concerned
,,98,Not in survey
,,99,Skipped/Missing
account_ai,"How concerned, if at all, are you about laws that would overly restrict AI usage instead of holding individuals accountable for harmful actions they commit?",1,Not at all concerned
,,2,Not very concerned
,,3,Somewhat concerned
,,4,Very concerned
,,5,Extremely concerned
,,98,Not in survey
,,99,Skipped/Missing
